formula,lambda,omega_log,tc_allen_dynes,tc_predicted,structure_family
EuDyReH6,2.05,35.84,4.9,2.5,double_perovskite
NdEuTcH6,0.66,166.66,5.1,3.9,double_perovskite
Ce2HRh6,0.67,167.00,5.1,1.6,double_perovskite
SmEuTcH6,0.67,168.28,5.3,6.2,double_perovskite
EuCdFeH6,0.47,502.93,5.4,4.3,double_perovskite
EuYTcH6,0.67,179.97,5.6,5.7,double_perovskite
TbEuTcH6,0.73,168.49,6.3,6.8,double_perovskite
EuDyTcH6,0.74,166.47,6.5,7.7,double_perovskite
EuHoTcH6,0.77,163.21,6.9,9.1,double_perovskite
SmEuReH6,0.98,105.75,6.9,2.9,double_perovskite
LiCeMnH6,0.65,234.44,6.9,2.7,double_perovskite
EuErTcH6,0.81,160.52,7.6,9.5,double_perovskite
EuYReH6,1.28,84.82,7.7,3.3,double_perovskite
EuTmTcH6,0.88,155.98,8.4,9.3,double_perovskite
YbCeTcH6,0.90,150.52,8.6,6.1,double_perovskite
YbGdTcH6,1.00,144.04,9.6,10.2,double_perovskite
LiTiH6Ru,1.12,123.38,9.8,8.7,double_perovskite
EuLuTcH6,1.09,134.38,10.1,9.2,double_perovskite
EuCdH6Ru,2.53,84.40,13.6,6.7,double_perovskite
LiZrH6Ru,1.00,341.59,23.5,4.7,double_perovskite
Ta3VH8,0.64,178.58,4.9,4.1,fluorite_like
Ta3NbH8,0.63,190.37,5.0,4.4,fluorite_like
TaNb3H8,0.72,185.95,7.0,7.1,fluorite_like
Ta6NbH16,0.64,179.61,5.0,6.0,fluorite_like
Ta6MoH16,0.75,176.75,7.3,6.0,fluorite_like
